,Mountain,Height (m),Prominence (m),Range,First ascent,Ascents bef. 2004,Failed attempts bef. 2004,Total attempts,Success rate,Difficulty
43,Gongga Shan / Minya Konka,7556,3642,Daxue Shan (Hengduan Shan),1932,6,7,13,46.15384615384615,0.10342960713697245
25,Batura Sar,7795,3118,Batura Karakoram,1976,4,6,10,40.0,0.09180142645293413
42,Trivor,7577,980,Hispar Karakoram,1960,2,5,7,28.57142857142857,0.08996539792387546
70,Ultar,7388,700,Batura Karakoram,1996,2,5,7,28.57142857142857,0.08996539792387546
97,Putha Hiunchuli,7246,1151,Dhaulagiri Himalaya,1954,11,5,16,68.75,0.08545878244345868
18,Distaghil Sar,7884,2525,Hispar Karakoram,1960,3,5,8,37.5,0.07833721723983714
77,Abi Gamin,7355,217,Garhwal Himalaya,1950,17,2,19,89.47368421052632,0.07797721164590404
68,Istor-o-Nal,7403,1040,Hindu Kush,1969,4,5,9,44.44444444444444,0.07435915542687664
39,Kongur Tagh,7649,3585,Kongur Shan (Eastern Pamirs),1981,2,4,6,33.33333333333333,0.06609702704611259
36,Saser Kangri I / K22,7672,2304,Saser Karakoram,1973,6,4,10,60.0,0.06120095096862274
35,Gurla Mandhata,7694,2788,Nalakankar Himalaya,1985,6,4,10,60.0,0.06120095096862274
71,Rimo I,7385,1438,Rimo Karakoram,1988,1,3,4,25.0,0.05875291292987784
91,Baltistan Peak / K6,7282,1962,Masherbrum Karakoram,1970,1,3,4,25.0,0.05875291292987784
86,The Crown / Huang Guan,7295,1919,Yengisogat Karakoram,1993,1,3,4,25.0,0.05875291292987784
94,Mana Peak,7272,730,Garhwal Himalaya,1937,7,3,10,70.0,0.052457957973105214
13,Gyachung Kang,7952,700,Mahalangur Himalaya,1964,5,3,8,62.5,0.04700233034390228
80,Saraghrar,7349,1979,Hindu Kush,1959,2,3,5,40.0,0.04590071322646706
40,Dhaulagiri V,7618,340,Dhaulagiri Himalaya,1975,2,3,5,40.0,0.04590071322646706
57,Jongsong Peak,7462,1298,Kangchenjunga Himalaya,1930,2,3,5,40.0,0.04590071322646706
48,Kongur Tiube,7530,840,Kongur Shan (Eastern Pamirs),1956,2,3,5,40.0,0.04590071322646706
67,Haramosh Peak,7409,2277,Rakaposhi-Haramosh Karakoram,1958,4,3,7,57.14285714285714,0.04498269896193773
82,Chamlang,7321,1240,Mahalangur Himalaya,1961,7,1,8,87.5,0.03357309310278734
65,Kabru N,7412,780,Kangchenjunga Himalaya,1994,1,2,3,33.33333333333333,0.033048513523056294
28,Namcha Barwa,7782,4106,Assam Himalaya,1992,1,2,3,33.33333333333333,0.033048513523056294
61,K12,7428,1978,Saltoro Karakoram,1974,4,2,6,66.66666666666666,0.033048513523056294
37,Chogolisa,7665,1624,Masherbrum Karakoram,1975,4,2,6,66.66666666666666,0.033048513523056294
53,Pumari Chhish,7492,890,Hispar Karakoram,1979,1,2,3,33.33333333333333,0.033048513523056294
45,Skyang Kangri,7545,1085,Baltoro Karakoram,1976,1,2,3,33.33333333333333,0.033048513523056294
93,Muztagh Tower,7276,1710,Baltoro Karakoram,1956,4,2,6,66.66666666666666,0.033048513523056294
47,Kula Kangri,7538,1650,Kula Kangri Himalaya,1986,3,2,5,60.0,0.03060047548431137
14,Gasherbrum III,7946,355,Baltoro Karakoram,1975,2,2,4,50.0,0.02937645646493892
105,Noijin Kangsang / Norin Kang,7206,2160,Nagarze Himalaya,1986,4,1,5,80.0,0.02295035661323353
55,Yukshin Gardan Sar,7469,1313,Hispar Karakoram,1984,4,1,5,80.0,0.02295035661323353
63,Sia Kangri,7422,640,Siachen Karakoram,1934,6,0,6,100.0,0.02203234234870419
24,Chomo Lonzo,7804,590,Mahalangur Himalaya,1954,3,1,4,75.0,0.019584304309959284
78,Nangpai Gosum,7350,500,Mahalangur Himalaya,1996,3,1,4,75.0,0.019584304309959284
79,Gimmigela / The Twins,7350,432,Kangchenjunga Himalaya,1994,3,1,4,75.0,0.019584304309959284
41,Shispare,7611,1240,Batura Karakoram,1974,3,1,4,75.0,0.019584304309959284
95,Dhaulagiri VI,7268,485,Dhaulagiri Himalaya,1970,5,0,5,100.0,0.018360285290586826
88,Porong Ri,7292,520,Langtang Himalaya,1982,5,0,5,100.0,0.018360285290586826
49,Mamostong Kangri,7516,1803,Rimo Karakoram,1984,5,0,5,100.0,0.018360285290586826
26,Kanjut Sar,7790,1690,Hispar Karakoram,1959,2,1,3,66.66666666666666,0.016524256761528147
31,Saltoro Kangri / K10,7742,2160,Saltoro Karakoram,1962,2,1,3,66.66666666666666,0.016524256761528147
66,Skil Brum,7410,1152,Baltoro Karakoram,1957,2,1,3,66.66666666666666,0.016524256761528147
99,Mukut Parbat,7242,840,Garhwal Himalaya,1951,2,1,3,66.66666666666666,0.016524256761528147
85,Siguang Ri,7309,650,Mahalangur Himalaya,1989,2,1,3,66.66666666666666,0.016524256761528147
74,Sherpi Kangri,7380,1000,Saltoro Karakoram,1976,1,1,2,50.0,0.01468822823246946
90,Yutmaru Sar,7283,620,Hispar Karakoram,1980,1,1,2,50.0,0.01468822823246946
106,Langtang Ri,7205,650,Langtang Himalaya,1981,4,0,4,100.0,0.01468822823246946
92,Kangpenqing / Gang Benchhen,7281,1340,Baiku Himalaya,1982,1,1,2,50.0,0.01468822823246946
83,Chongtar,7315,1300,Baltoro Karakoram,1994,1,1,2,50.0,0.01468822823246946
81,Jomolhari,7326,2077,Jomolhari Himalaya,1937,4,0,4,100.0,0.01468822823246946
69,Ghent Kangri,7401,1493,Saltoro Karakoram,1961,4,0,4,100.0,0.01468822823246946
72,Churen Himal,7385,600,Dhaulagiri Himalaya,1970,3,0,3,100.0,0.011016171174352095
108,Singhi Kangri,7202,790,Siachen Karakoram,1976,2,0,2,100.0,0.00734411411623473
56,Teram Kangri I,7462,1702,Siachen Karakoram,1975,2,0,2,100.0,0.00734411411623473
98,Apsarasas Kangri,7245,635,Siachen Karakoram,1976,2,0,2,100.0,0.00734411411623473
54,Passu Sar,7476,645,Batura Karakoram,1994,1,0,1,100.0,0.003672057058117365
103,Khartaphu,7213,712,Mahalangur Himalaya,1935,1,0,1,100.0,0.003672057058117365
107,Kangphu Kang,7204,1200,Lunana Himalaya,2002,1,0,1,100.0,0.003672057058117365
73,Teram Kangri III,7382,520,Siachen Karakoram,1979,1,0,1,100.0,0.003672057058117365
104,Malangutti Sar,7207,515,Hispar Karakoram,1985,1,0,1,100.0,0.003672057058117365
100,Rimo III,7233,615,Rimo Karakoram,1985,1,0,1,100.0,0.003672057058117365
75,Labuche Kang,7367,1957,Labuche Himalaya,1987,1,0,1,100.0,0.003672057058117365
34,Molamenqing,7703,430,Langtang Himalaya,1981,1,0,1,100.0,0.003672057058117365
84,Baltoro Kangri,7312,1200,Masherbrum Karakoram,1976,1,0,1,100.0,0.003672057058117365
87,Gyala Peri,7294,2942,Assam Himalaya,1986,1,0,1,100.0,0.003672057058117365
51,Saser Kangri III,7495,850,Saser Karakoram,1986,1,0,1,100.0,0.003672057058117365
109,Lupghar Sar,7200,730,Hispar Karakoram,1979,1,0,1,100.0,0.003672057058117365
50,Saser Kangri II E,7513,1450,Saser Karakoram,2011,0,0,0,,
